aliquot_id,icgc_donor_id,T_Specimen ID,T_Object ID,T_File Name,N_Specimen ID,N_Object ID,N_File Name
60413de1-6cd2-4f74-8180-3bdd394d6d16,DO220877,SP124415,75f0b30b-356f-5300-9002-43ac560b8ee7,0a2055597b75c8cb09569f964bf87dc0.bam,SP124566,469124fe-3646-5e65-8566-7a82fab87a4c,72257687b158f130022be583e75049ee.bam
9fc5b5c7-3973-42b4-8710-454de0cb5b50,DO220878,SP124384,f5a09ec5-5445-5325-90a0-d410b560e27e,0f729b1a5061dcd4c942c58ddb2ac814.bam,SP124568,6f8e8bca-efce-527b-a840-23e2a1410503,82bd68da6c770ee2e09b837240470e44.bam
bcefbf6a-80ff-4825-9d3a-492e2dceb35d,DO220879,SP124386,651b2f4c-fd28-5721-abec-fd48ff5c2025,fce7740f18ec072f4e9381e0c5cada4a.bam,SP124570,4150f246-c2e7-5dfa-bd43-c2ca1a9ada83,a323937db1c62572595c5e89ce252aae.bam
f07b9192-c86f-4ee4-a3b5-feb9c5098bf4,DO220880,SP124365,51e7e024-5fca-5c73-b927-3e169c984729,4ce7043e6c3608bd1b21fdcd75956d33.bam,SP124574,6f49b489-70aa-59b5-9517-60c0ea7a2c85,e7e9bd2bdf357ee0481d99fc823bca98.bam
72108583-5320-46ec-945f-5ff173d7dc15,DO220881,SP124367,4b187e8c-6a98-55f7-8f2d-97cfc3704f07,2a76e4ad4c8bfc0311fbb438872cde44.bam,SP124576,37991703-8898-5f0b-bc8a-b02856690d37,ec78d9a4f862896406e884dc21ba3352.bam
e2b2357c-da6f-4ca3-9c07-a22f0423e8fe,DO220882,SP124369,2e74a0a9-b905-50a2-94ff-332a364b6bcb,b591415426a314ef0a74ae9459313dc6.bam,SP124580,0c5c43dc-726c-5257-b1b8-61044e416348,3e38c5b0eafd2603311248491db6102f.bam
39c476fd-273b-4136-874c-53352f1be008,DO220883,SP124376,7443e7c6-ea84-52f9-895d-dd40ff96824b,7368df1c73a81daa872702eac4002f81.bam,SP124582,d04ede39-09a5-553b-b49a-df5df7207f82,59015a441aba6d05ea6f38dffd63623d.bam
76a0d9c9-5e69-44e8-9ed2-6d2e387803fc,DO220884,SP124377,48228872-b31f-5131-859b-4dc7c3eac2a4,6d65231fac6a83aa80fd186108bb8273.bam,SP124587,bb2f7012-dc54-5335-ba55-47e811f8e247,cc4b7b20c75795418f0cf2a520f054a7.bam
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8,DO220885,SP124380,df285bc6-23b2-536b-8397-c28da0441631,c5c57a9dd6c7016d43a8e3fa9f4b2131.bam,SP124591,796ba9b6-18c6-5047-b5c6-e5610a2be3da,16d13c22b51b97d4fdc23f13fa8704cd.bam
5c3def3a-b515-41f6-8157-681b963534e7,DO220886,SP124382,70037806-5f0d-5c38-98d1-06c1178ed0bb,8aec0a44c77ff97b3b1b4d473d184eb3.bam,SP124594,84744241-b8d6-513d-9777-f1de79cdf55b,38b9fd26d8fcc0f89af7b11810ae18e4.bam
